FHIR,Health Level 7,REST basics,Yes,Fast Healthcare Interoperability Resources,Yes,Yes,Yes,Yes,"Hapi for FHIR JSON, XML, Turtle",No
Ion,Amazon,JSON,No,The Amazon Ion Specification,Yes,Yes,No,Ion schema,"C, C#, Go, Java, JavaScript, Python, Rust",—
Java serialization,Oracle Corporation,—,Yes,Java Object Serialization,Yes,No,Yes,No,Yes,—
JSON,Douglas Crockford,JavaScript syntax,Yes,"STD 90/RFC 8259
(ancillary:
RFC 6901,
RFC 6902), ECMA-404, ISO/IEC 21778:2017","No, but see BSON, Smile, UBJSON",Yes,"JSON Pointer (RFC 6901), or alternately, JSONPath, JPath, JSPON, json:select(); and JSON-LD","Partial
(JSON Schema Proposal, ASN.1 with JER, Kwalify Archived 2021-08-12 at the Wayback Machine, Rx, JSON-LD","Partial
(Clarinet, JSONQuery / RQL, JSONPath), JSON-LD",No
MessagePack,Sadayuki Furuhashi,JSON (loosely),No,MessagePack format specification,Yes,No,No,No,No,Yes
Netstrings,Dan Bernstein,—,No,netstrings.txt,Except ASCII delimiters,Yes,No,No,No,Yes
OGDL,Rolf Veen,?,No,Specification,Binary specification,Yes,Path specification,Schema WD,,—
OPC-UA Binary,OPC Foundation,—,No,opcfoundation.org,Yes,No,Yes,No,No,—
OpenDDL,Eric Lengyel,"C, PHP",No,OpenDDL.org,No,Yes,Yes,No,OpenDDL library,—
PHP serialization format,PHP Group,—,Yes,No,Yes,Yes,Yes,No,Yes,—
Pickle (Python),Guido van Rossum,Python,De facto as PEPs,PEP 3154 – Pickle protocol version 4,Yes,No,Yes,No,Yes,No
Property list,"NeXT (creator)
Apple (maintainer)",?,Partial,Public DTD for XML format,Yesa,Yesb,No,?,"Cocoa, CoreFoundation, OpenStep, GnuStep",No
Protocol Buffers (protobuf),Google,—,No,"Developer Guide: Encoding, proto2 specification, and proto3 specification",Yes,Yesd,No,Built-in,"C++, Java, C#, Python, Go, Ruby, Objective-C, C, Dart, Perl, PHP, R, Rust, Scala, Swift, Julia, Erlang, D, Haskell, ActionScript, Delphi, Elixir, Elm, Erlang, GopherJS, Haskell, Haxe, JavaScript, Kotlin, Lua, Matlab, Mercurt, OCaml, Prolog, Solidity, Typescript, Vala, Visual Basic",No
S-expressions,"John McCarthy (original)
Ron Rivest (internet draft)","Lisp, Netstrings",Largely de facto,"""S-Expressions"" Archived 2013-10-07 at the Wayback Machine Internet Draft","Yes, canonical representation","Yes, advanced transport representation",No,No,,—
Smile,Tatu Saloranta,JSON,No,Smile Format Specification,Yes,No,Yes,"Partial
(JSON Schema Proposal, other JSON schemas/IDLs)","Partial
(via JSON APIs implemented with Smile backend, on Jackson, Python)",—
SOAP,W3C,XML,Yes,"W3C Recommendations:
SOAP/1.1
SOAP/1.2","Partial
(Efficient XML Interchange, Binary XML, Fast Infoset, MTOM, XSD base64 data)",Yes,"Built-in id/ref, XPointer, XPath","WSDL, XML schema","DOM, SAX, XQuery, XPath",—
Structured Data eXchange Formats,Max Wildgrube,—,Yes,RFC 3072,Yes,No,No,No,,—
UBJSON,"The Buzz Media, LLC","JSON, BSON",No,ubjson.org,Yes,No,No,No,No,—
eXternal Data Representation (XDR),"Sun Microsystems (creator)
IETF (maintainer)",—,Yes,STD 67/RFC 4506,Yes,No,Yes,Yes,Yes,—
XML,W3C,SGML,Yes,"W3C Recommendations:
1.0 (Fifth Edition)
1.1 (Second Edition)","Partial
(Efficient XML Interchange, Binary XML, Fast Infoset, XSD base64 data)",Yes,"XPointer, XPath","XML schema, RELAX NG","DOM, SAX, XQuery, XPath",—
XML-RPC,Dave Winer,XML,No,XML-RPC Specification,No,Yes,No,No,No,No
YAML,"Clark Evans,
Ingy döt Net,
and Oren Ben-Kiki","C, Java, Perl, Python, Ruby, Email, HTML, MIME, URI, XML, SAX, SOAP, JSON",No,Version 1.2,No,Yes,Yes,"Partial
(Kwalify Archived 2021-08-12 at the Wayback Machine, Rx, built-in language type-defs)",No,No
Name,Creator-maintainer,Based on,Standardized?,Specification,Binary?,Human-readable?,Supports references?e,Schema-IDL?,Standard APIs,Supports zero-copy operations
